date,mua_vao,ban_ra
2018-01-01,36.47,36.67
2018-01-02,36.55,36.75
2018-01-03,36.5,36.7
2018-01-04,36.44,36.64
2018-01-05,36.49,36.69
2018-01-08,36.4,36.6
2018-01-09,36.4,36.6
2018-01-10,36.41,36.61
2018-01-11,36.45,36.65
2018-01-12,36.6,36.8
2018-01-15,36.8,37.0
2018-01-16,36.67,36.87
2018-01-17,36.67,36.87
2018-01-18,36.57,36.77
2018-01-19,36.69,36.86
2018-01-22,36.7,36.87
2018-01-23,36.71,36.88
2018-01-24,36.81,36.98
2018-01-25,36.96,37.16
2018-01-26,36.95,37.15
2018-01-29,36.8,36.98
2018-01-30,36.69,36.89
2018-01-31,36.68,36.88
2018-02-01,36.67,36.87
2018-02-02,36.76,36.92
2018-02-05,36.67,36.84
2018-02-06,36.75,36.92
2018-02-07,36.7,36.87
2018-02-08,36.53,36.7
2018-02-09,36.6,36.78
2018-02-12,36.82,37.04
2018-02-13,36.92,37.12
2018-02-21,36.87,37.12
2018-02-22,36.88,37.01
2018-02-23,36.86,36.99
2018-02-26,36.8,36.95
2018-02-27,36.77,36.92
2018-02-28,36.54,36.7
2018-03-01,36.51,36.69
2018-03-02,36.61,36.77
2018-03-05,36.68,36.86
2018-03-06,36.64,36.82
2018-03-07,36.66,36.84
2018-03-08,36.64,36.82
2018-03-09,36.59,36.77
2018-03-12,36.58,36.76
2018-03-13,36.55,36.73
2018-03-14,36.58,36.76
2018-03-15,36.58,36.76
2018-03-16,36.57,36.75
2018-03-19,36.49,36.67
2018-03-20,36.51,36.69
2018-03-21,36.52,36.7
2018-03-22,36.6,36.78
2018-03-23,36.71,36.89
2018-03-26,36.84,37.02
2018-03-27,36.87,37.05
2018-03-28,36.72,36.9
2018-03-29,36.56,36.73
2018-03-30,36.64,36.82
2018-04-02,36.62,36.8
2018-04-03,36.68,36.86
2018-04-04,36.74,36.92
2018-04-05,36.57,36.75
2018-04-06,36.6,36.78
2018-04-09,36.62,36.8
2018-04-10,36.67,36.85
2018-04-11,36.73,36.91
2018-04-12,36.84,37.04
2018-04-13,36.78,36.96
2018-04-17,36.84,37.02
2018-04-18,36.81,36.99
2018-04-19,36.89,37.09
2018-04-20,36.8,36.98
2018-04-23,36.65,36.83
2018-04-24,36.64,36.84
2018-04-26,36.61,36.79
2018-04-27,36.62,36.82
2018-05-02,36.54,36.72
2018-05-03,36.57,36.75
2018-05-04,36.57,36.75
2018-05-07,36.55,36.73
2018-05-08,36.55,36.73
2018-05-09,36.54,36.72
2018-05-10,36.56,36.74
2018-05-11,36.65,36.83
2018-05-14,36.63,36.81
2018-05-15,36.55,36.73
2018-05-16,36.48,36.68
2018-05-17,36.46,36.66
2018-05-18,36.48,36.68
2018-05-21,36.49,36.69
2018-05-22,36.5,36.7
2018-05-23,36.5,36.7
2018-05-24,36.54,36.7
2018-05-25,36.6,36.75
2018-05-28,36.55,36.69
2018-05-29,36.59,36.74
2018-05-30,36.55,36.7
2018-05-31,36.57,36.72
2018-06-01,36.57,36.72
2018-06-04,36.55,36.7
2018-06-05,36.56,36.71
2018-06-06,36.56,36.72
2018-06-07,36.59,36.75
2018-06-08,36.61,36.77
2018-06-11,36.78,36.96
2018-06-12,36.85,37.03
2018-06-13,36.77,36.97
2018-06-14,36.8,37.0
2018-06-15,36.77,36.97
2018-06-18,36.74,36.92
2018-06-19,36.76,36.94
2018-06-20,36.74,36.92
2018-06-21,36.65,36.83
2018-06-22,36.79,36.97
2018-06-25,36.75,36.92
2018-06-26,36.7,36.85
2018-06-27,36.69,36.86
2018-06-28,36.64,36.81
2018-06-29,36.61,36.78
2018-07-02,36.7,36.88
2018-07-03,36.67,36.86
2018-07-04,36.68,36.87
2018-07-05,36.69,36.88
2018-07-06,36.75,36.93
2018-07-09,36.84,37.02
2018-07-10,36.8,36.98
2018-07-11,36.83,37.01
2018-07-12,36.79,36.97
2018-07-13,36.82,37.0
2018-07-16,36.78,36.96
2018-07-17,36.76,36.94
2018-07-18,36.59,36.77
2018-07-19,36.53,36.71
2018-07-20,36.65,36.83
2018-07-23,36.72,36.9
2018-07-24,36.74,36.92
2018-07-25,36.77,36.95
2018-07-26,36.7,36.88
2018-07-27,36.7,36.88
2018-07-30,36.71,36.89
2018-07-31,36.66,36.84
2018-08-01,36.66,36.84
2018-08-02,36.6,36.78
2018-08-03,36.61,36.79
2018-08-06,36.65,36.83
2018-08-07,36.68,36.86
2018-08-08,36.63,36.81
2018-08-09,36.61,36.78
2018-08-10,36.62,36.79
2018-08-13,36.59,36.77
2018-08-14,36.56,36.74
2018-08-15,36.54,36.72
2018-08-16,36.56,36.74
2018-08-17,36.55,36.73
2018-08-20,36.59,36.77
2018-08-21,36.56,36.74
2018-08-22,36.58,36.76
2018-08-23,36.56,36.74
2018-08-24,36.57,36.75
2018-08-27,36.62,36.8
2018-08-28,36.6,36.78
2018-08-29,36.56,36.73
2018-08-30,36.57,36.74
2018-08-31,36.56,36.73
2018-09-04,36.55,36.72
2018-09-05,36.56,36.73
2018-09-06,36.6,36.77
2018-09-07,36.59,36.76
2018-09-10,36.52,36.69
2018-09-11,36.53,36.7
2018-09-12,36.52,36.69
2018-09-13,36.54,36.71
2018-09-14,36.55,36.71
2018-09-17,36.53,36.69
2018-09-18,36.52,36.68
2018-09-19,36.53,36.68
2018-09-20,36.51,36.66
2018-09-21,36.54,36.69
2018-09-24,36.47,36.62
2018-09-25,36.41,36.56
2018-09-26,36.41,36.56
2018-09-27,36.35,36.5
2018-09-28,36.28,36.43
2018-10-01,36.32,36.47
2018-10-02,36.36,36.51
2018-10-03,36.38,36.53
2018-10-04,36.38,36.52
2018-10-05,36.38,36.52
2018-10-08,36.38,36.52
2018-10-09,36.36,36.5
2018-10-10,36.36,36.5
2018-10-11,36.39,36.53
2018-10-12,36.46,36.6
2018-10-15,36.53,36.67
2018-10-16,36.49,36.63
2018-10-17,36.52,36.66
2018-10-18,36.49,36.63
2018-10-19,36.49,36.63
2018-10-22,36.47,36.61
2018-10-23,36.52,36.66
2018-10-24,36.48,36.62
2018-10-25,36.46,36.6
2018-10-26,36.5,36.64
2018-10-29,36.43,36.57
2018-10-30,36.38,36.52
2018-10-31,36.36,36.5
2018-11-01,36.41,36.56
2018-11-02,36.44,36.6
2018-11-05,36.44,36.59
2018-11-06,36.38,36.54
2018-11-07,36.41,36.57
2018-11-08,36.37,36.53
2018-11-09,36.35,36.51
2018-11-12,36.32,36.48
2018-11-13,36.32,36.48
2018-11-14,36.36,36.5
2018-11-15,36.42,36.58
2018-11-16,36.48,36.64
2018-11-19,36.49,36.65
2018-11-20,36.46,36.62
2018-11-21,36.43,36.59
2018-11-22,36.41,36.57
2018-11-23,36.38,36.54
2018-11-26,36.37,36.53
2018-11-27,36.32,36.48
2018-11-28,36.29,36.45
2018-11-29,36.34,36.5
2018-11-30,36.32,36.48
2018-12-03,36.32,36.48
2018-12-04,36.33,36.49
2018-12-05,36.3,36.46
2018-12-06,36.26,36.42
2018-12-07,36.27,36.43
2018-12-10,36.35,36.51
2018-12-11,36.31,36.47
2018-12-12,36.26,36.42
2018-12-13,36.22,36.38
2018-12-14,36.25,36.41
2018-12-17,36.25,36.43
2018-12-18,36.24,36.42
2018-12-19,36.23,36.41
2018-12-20,36.22,36.4
2018-12-21,36.25,36.43
2018-12-24,36.26,36.44
2018-12-25,36.23,36.41
2018-12-26,36.28,36.46
2018-12-27,36.27,36.45
2018-12-28,36.34,36.54
2018-12-31,36.27,36.57
2019-01-02,36.38,36.58
2019-01-07,36.63,36.81
2019-01-08,36.54,36.72
2019-01-09,36.5,36.67
2019-01-10,36.58,36.76
2019-01-11,36.55,36.73
2019-01-14,36.53,36.71
2019-01-15,36.5,36.68
2019-01-16,36.47,36.65
2019-01-17,36.54,36.72
2019-01-18,36.56,36.74
2019-01-21,36.41,36.59
2019-01-22,36.35,36.53
2019-01-23,36.37,36.55
2019-01-24,36.36,36.54
2019-01-25,36.48,36.66
2019-01-28,36.58,36.78
2019-01-29,36.65,36.85
2019-01-30,36.72,36.92
2019-01-31,36.9,37.1
2019-02-01,36.88,37.1
2019-02-11,36.93,37.13
2019-02-12,36.95,37.15
2019-02-13,36.78,37.02
