horizon,subset,model,fold_id,n_features,mape,n_eval
1,S1_lag_only,Ridge,0,30,0.9450900778161492,90
1,S1_lag_only,Ridge,1,30,0.5232453606455,90
1,S1_lag_only,Ridge,2,30,0.3488237478318762,90
1,S1_lag_only,Ridge,3,30,1.1953446738748474,90
1,S1_lag_only,Ridge,4,30,1.5946339318592295,90
1,S1_lag_only,ElasticNet,0,30,0.6614599590157542,90
1,S1_lag_only,ElasticNet,1,30,0.8832762987092515,90
1,S1_lag_only,ElasticNet,2,30,0.4820391300935463,90
1,S1_lag_only,ElasticNet,3,30,2.035349786028763,90
1,S1_lag_only,ElasticNet,4,30,3.026922183268241,90
1,S2_plus_returns,Ridge,0,48,0.37920320541125435,90
1,S2_plus_returns,Ridge,1,48,0.3043866715429577,90
1,S2_plus_returns,Ridge,2,48,0.23046841682705593,90
1,S2_plus_returns,Ridge,3,48,0.9246673543670534,90
1,S2_plus_returns,Ridge,4,48,1.1503380848031455,90
1,S2_plus_returns,ElasticNet,0,48,0.576145316888356,90
1,S2_plus_returns,ElasticNet,1,48,0.5493917323989682,90
1,S2_plus_returns,ElasticNet,2,48,0.3161492923828641,90
1,S2_plus_returns,ElasticNet,3,48,1.5585342331205045,90
1,S2_plus_returns,ElasticNet,4,48,2.0466622644517747,90
1,S3_plus_technical,Ridge,0,86,0.2831664794552713,90
1,S3_plus_technical,Ridge,1,86,0.24206103807125837,90
1,S3_plus_technical,Ridge,2,86,0.2154701266333765,90
1,S3_plus_technical,Ridge,3,86,0.7433505301975333,90
1,S3_plus_technical,Ridge,4,86,1.4217546931087168,90
1,S3_plus_technical,ElasticNet,0,86,0.4001555971719821,90
1,S3_plus_technical,ElasticNet,1,86,0.22980364271848186,90
1,S3_plus_technical,ElasticNet,2,86,0.21647941858639222,90
1,S3_plus_technical,ElasticNet,3,86,1.1575395675115565,90
1,S3_plus_technical,ElasticNet,4,86,1.335109862931179,90
1,S4_plus_macro,Ridge,0,93,0.40429608833997405,90
1,S4_plus_macro,Ridge,1,93,0.23803367440349069,90
1,S4_plus_macro,Ridge,2,93,0.2036352818069583,90
1,S4_plus_macro,Ridge,3,93,0.8851890361408605,90
1,S4_plus_macro,Ridge,4,93,1.4538177413123945,90
1,S4_plus_macro,ElasticNet,0,93,0.3967284099654408,90
1,S4_plus_macro,ElasticNet,1,93,0.17493137223820254,90
1,S4_plus_macro,ElasticNet,2,93,0.26615554470434905,90
1,S4_plus_macro,ElasticNet,3,93,1.2763904636564758,90
1,S4_plus_macro,ElasticNet,4,93,1.2310127955182657,90
1,S5_plus_calendar,Ridge,0,106,0.354912843087055,90
1,S5_plus_calendar,Ridge,1,106,0.25897394256633566,90
1,S5_plus_calendar,Ridge,2,106,0.19754805999543748,90
1,S5_plus_calendar,Ridge,3,106,0.8719890225230658,90
1,S5_plus_calendar,Ridge,4,106,1.4834207437196247,90
1,S5_plus_calendar,ElasticNet,0,106,0.39672872296372363,90
1,S5_plus_calendar,ElasticNet,1,106,0.17493176165329477,90
1,S5_plus_calendar,ElasticNet,2,106,0.26615742739140114,90
1,S5_plus_calendar,ElasticNet,3,106,1.2763907621398194,90
1,S5_plus_calendar,ElasticNet,4,106,1.2320015288851691,90
1,S6_full,Ridge,0,116,0.35491284308701865,90
1,S6_full,Ridge,1,116,0.2589739425664063,90
1,S6_full,Ridge,2,116,0.19754805999547845,90
1,S6_full,Ridge,3,116,0.8719890225230404,90
1,S6_full,Ridge,4,116,1.4834207437198554,90
1,S6_full,ElasticNet,0,116,0.39672872296372363,90
1,S6_full,ElasticNet,1,116,0.17493176165329477,90
1,S6_full,ElasticNet,2,116,0.26615742739140114,90
1,S6_full,ElasticNet,3,116,1.2763907621398194,90
1,S6_full,ElasticNet,4,116,1.2320015288851691,90
5,S1_lag_only,Ridge,0,30,0.40566218169609997,90
5,S1_lag_only,Ridge,1,30,0.7070731846917184,90
5,S1_lag_only,Ridge,2,30,0.5402181824108421,90
5,S1_lag_only,Ridge,3,30,2.08903442916668,90
5,S1_lag_only,Ridge,4,30,3.416443339159484,90
5,S1_lag_only,ElasticNet,0,30,0.866429258666595,90
5,S1_lag_only,ElasticNet,1,30,0.9544136137334042,90
5,S1_lag_only,ElasticNet,2,30,0.6099684753090108,90
5,S1_lag_only,ElasticNet,3,30,2.7331246983339597,90
5,S1_lag_only,ElasticNet,4,30,4.427266876620746,90
5,S2_plus_returns,Ridge,0,48,0.6628239776661554,90
5,S2_plus_returns,Ridge,1,48,0.5214909096902423,90
5,S2_plus_returns,Ridge,2,48,0.4684141969961939,90
5,S2_plus_returns,Ridge,3,48,1.9249671446003473,90
5,S2_plus_returns,Ridge,4,48,3.0458217129124976,90
5,S2_plus_returns,ElasticNet,0,48,0.7730765123451531,90
5,S2_plus_returns,ElasticNet,1,48,0.7129413137201857,90
5,S2_plus_returns,ElasticNet,2,48,0.4989013207567649,90
5,S2_plus_returns,ElasticNet,3,48,2.3881586510347135,90
5,S2_plus_returns,ElasticNet,4,48,3.6309684478201896,90
5,S3_plus_technical,Ridge,0,86,1.3901037747173504,90
5,S3_plus_technical,Ridge,1,86,0.455061186187538,90
5,S3_plus_technical,Ridge,2,86,0.5426575345215499,90
5,S3_plus_technical,Ridge,3,86,1.8474172745800523,90
5,S3_plus_technical,Ridge,4,86,3.940159981373312,90
5,S3_plus_technical,ElasticNet,0,86,0.6177641162598702,90
5,S3_plus_technical,ElasticNet,1,86,0.4247091207037211,90
5,S3_plus_technical,ElasticNet,2,86,0.4737399664725835,90
5,S3_plus_technical,ElasticNet,3,86,2.1115957493654047,90
5,S3_plus_technical,ElasticNet,4,86,3.250775893175148,90
5,S4_plus_macro,Ridge,0,93,1.7111105039229018,90
5,S4_plus_macro,Ridge,1,93,0.4818196515506363,90
5,S4_plus_macro,Ridge,2,93,0.549324818449825,90
5,S4_plus_macro,Ridge,3,93,1.903557622843598,90
5,S4_plus_macro,Ridge,4,93,4.446043129416683,90
5,S4_plus_macro,ElasticNet,0,93,0.8570111289065719,90
5,S4_plus_macro,ElasticNet,1,93,0.3655616264211168,90
5,S4_plus_macro,ElasticNet,2,93,0.47289365836319525,90
5,S4_plus_macro,ElasticNet,3,93,2.213067643970066,90
5,S4_plus_macro,ElasticNet,4,93,3.093487877813333,90
5,S5_plus_calendar,Ridge,0,106,0.7292720363327432,90
5,S5_plus_calendar,Ridge,1,106,0.7469896955892341,90
5,S5_plus_calendar,Ridge,2,106,0.5942183030176084,90
5,S5_plus_calendar,Ridge,3,106,1.7418767731947715,90
5,S5_plus_calendar,Ridge,4,106,4.522962048333076,90
5,S5_plus_calendar,ElasticNet,0,106,0.8690727164463422,90
5,S5_plus_calendar,ElasticNet,1,106,0.36584832663366484,90
5,S5_plus_calendar,ElasticNet,2,106,0.4807517200926624,90
5,S5_plus_calendar,ElasticNet,3,106,2.2135885524824848,90
5,S5_plus_calendar,ElasticNet,4,106,3.1178867388987332,90
