horizon,subset,model,mape_mean,mape_std,n_features,n_folds
1,S1_lag_only,ElasticNet,1.417809471423111,1.0844418136704335,30,5
1,S2_plus_returns,ElasticNet,1.0093765678484936,0.7512281908325646,48,5
1,S3_plus_technical,ElasticNet,0.6678176177839183,0.5367289581726205,86,5
1,S4_plus_macro,ElasticNet,0.6690437172165468,0.5397455027491966,93,5
1,S5_plus_calendar,ElasticNet,0.6692420406066816,0.5400025873293219,106,5
1,S6_full,ElasticNet,0.6692420406066816,0.5400025873293219,116,5
1,S1_lag_only,Ridge,0.9214275584055205,0.503791005459369,30,5
1,S2_plus_returns,Ridge,0.5978127465902934,0.41259818032000667,48,5
1,S3_plus_technical,Ridge,0.5811605734932312,0.5173061312988034,86,5
1,S4_plus_macro,Ridge,0.6369943644007356,0.5314882967810305,93,5
1,S5_plus_calendar,Ridge,0.6333689223783037,0.5447882304734558,106,5
1,S6_full,Ridge,0.6333689223783598,0.5447882304735273,116,5
5,S1_lag_only,ElasticNet,1.918240584532743,1.6360084397664116,30,5
5,S2_plus_returns,ElasticNet,1.6008092491354013,1.362820374223261,48,5
5,S3_plus_technical,ElasticNet,1.3757169691953455,1.2599438991585399,86,5
5,S4_plus_macro,ElasticNet,1.4004043870948564,1.199312844913093,93,5
5,S5_plus_calendar,ElasticNet,1.4094296109107776,1.2050920563037584,106,5
5,S6_full,ElasticNet,1.4094296109107776,1.2050920563037584,116,5
5,S1_lag_only,Ridge,1.431686263424965,1.2984483172529504,30,5
5,S2_plus_returns,Ridge,1.3247035883730873,1.1334715130522355,48,5
5,S3_plus_technical,Ridge,1.6350799502759608,1.4145958286460467,86,5
5,S4_plus_macro,Ridge,1.8183711452367288,1.6062588608621118,93,5
5,S5_plus_calendar,Ridge,1.6670637712934866,1.6612298904572917,106,5
5,S6_full,Ridge,1.6670637712938343,1.6612298904578153,116,5
20,S1_lag_only,ElasticNet,3.259217030556139,2.9007760926347745,30,5
20,S2_plus_returns,ElasticNet,3.1242081882062074,2.6565758186630086,48,5
20,S3_plus_technical,ElasticNet,2.9807160906264443,2.588716979658431,86,5
20,S4_plus_macro,ElasticNet,3.104009294650606,2.671569189260366,93,5
20,S5_plus_calendar,ElasticNet,3.058819998620382,2.6680444243437074,106,5
20,S6_full,ElasticNet,3.058819998620382,2.6680444243437074,116,5
20,S1_lag_only,Ridge,3.4175103138045024,2.7326972583117684,30,5
20,S2_plus_returns,Ridge,3.370301794721706,2.5712758427220623,48,5
20,S3_plus_technical,Ridge,4.099630827006389,2.9801579899022883,86,5
20,S4_plus_macro,Ridge,4.6680473903974455,3.6957500014143845,93,5
20,S5_plus_calendar,Ridge,4.6504318638925755,3.2997876828969637,106,5
20,S6_full,Ridge,4.650431863892542,3.299787682896791,116,5
