model,horizon,fold_id,split_coverage,split_width,aci_coverage,aci_width,n_test
Ridge,1,0,98.88888888888889,1.6537424323599907,88.88888888888889,1.0154326552361115,90
Ridge,1,1,100.0,1.767617410110148,86.66666666666667,0.7996772431177523,90
Ridge,1,2,98.88888888888889,1.1937573344496286,83.33333333333334,0.6505096016675042,90
Ridge,1,3,28.888888888888886,0.713482143811234,87.77777777777777,2.305098539347487,90
Ridge,1,4,62.22222222222222,2.077338271435309,83.33333333333334,3.532315551340558,90
ElasticNet,1,0,98.88888888888889,1.550737448436081,86.66666666666667,1.0405600687649945,90
ElasticNet,1,1,100.0,1.3046404164149692,95.55555555555556,0.6958682782181699,90
ElasticNet,1,2,88.88888888888889,0.7603688249019172,80.0,0.7248434653327264,90
ElasticNet,1,3,8.88888888888889,0.5892037950741269,85.55555555555556,3.000540876498535,90
ElasticNet,1,4,82.22222222222221,2.994580661824159,82.22222222222221,3.7899441266694063,90
LightGBM,1,0,100.0,4.838171576108066,73.33333333333333,1.9127444710424204,90
LightGBM,1,1,100.0,2.80739981535433,92.22222222222223,1.7039233704369843,90
LightGBM,1,2,100.0,4.537342308252789,71.11111111111111,1.3033625091990257,90
LightGBM,1,3,10.0,2.358331665565231,61.111111111111114,13.366509004992167,90
LightGBM,1,4,86.66666666666667,19.43894441514999,65.55555555555556,16.06681065947801,90
Ridge,5,0,100.0,3.5739147850584345,92.22222222222223,2.018669620607562,90
Ridge,5,1,100.0,6.2608488456831415,78.88888888888889,1.6730854206558763,90
Ridge,5,2,95.55555555555556,2.2011107017559084,88.88888888888889,1.4866565675463923,90
Ridge,5,3,41.11111111111111,1.9286985374043013,85.55555555555556,4.86169772808046,90
Ridge,5,4,53.333333333333336,4.149360133436262,80.0,9.649226821790206,90
ElasticNet,5,0,98.88888888888889,2.5762939492103953,87.77777777777777,1.9924205154358758,90
ElasticNet,5,1,100.0,2.584429670042482,97.77777777777777,1.2303896664980307,90
ElasticNet,5,2,88.88888888888889,1.4120790268025303,83.33333333333334,1.1794437148318795,90
ElasticNet,5,3,14.444444444444443,1.284301889047157,77.77777777777779,5.188956252261668,90
ElasticNet,5,4,66.66666666666666,4.907013608916173,82.22222222222221,9.371995123296207,90
LightGBM,5,0,100.0,6.004604759669205,68.88888888888889,2.0136841767920832,90
LightGBM,5,1,100.0,3.801367248503794,92.22222222222223,1.8391743642836844,90
LightGBM,5,2,100.0,5.756753566518526,72.22222222222221,2.6504705270560023,90
LightGBM,5,3,6.666666666666667,3.8601496143483587,60.0,13.72642080194509,90
LightGBM,5,4,97.77777777777777,20.816392081013774,76.66666666666667,14.234351129606784,90
Ridge,20,0,90.0,10.288827562204695,68.88888888888889,9.218032956337945,90
Ridge,20,1,100.0,21.99710227640506,66.66666666666666,4.529023733900161,90
Ridge,20,2,100.0,10.29924011764453,75.55555555555556,2.8228353842778224,90
Ridge,20,3,41.11111111111111,5.883311178207436,77.77777777777779,9.165358902667192,90
Ridge,20,4,43.333333333333336,9.85402325643335,73.33333333333333,19.128288666944307,90
ElasticNet,20,0,98.88888888888889,7.769027359155656,68.88888888888889,4.982369491293561,90
ElasticNet,20,1,100.0,10.52357367807744,91.11111111111111,2.1285434460560535,90
ElasticNet,20,2,84.44444444444444,3.0340606121733624,73.33333333333333,2.321592213948532,90
ElasticNet,20,3,14.444444444444443,2.894642399612707,78.88888888888889,8.983731319882631,90
ElasticNet,20,4,61.111111111111114,8.733595501187011,66.66666666666666,17.920829447139162,90
LightGBM,20,0,100.0,5.439644300502891,80.0,2.147355566921146,90
LightGBM,20,1,100.0,2.575858126830042,90.0,0.8459533032354093,90
LightGBM,20,2,22.22222222222222,1.772659122248939,66.66666666666666,3.934902995682352,90
LightGBM,20,3,5.555555555555555,4.9070314957580194,61.111111111111114,13.950053948624095,90
LightGBM,20,4,100.0,23.228072046495384,70.0,17.024592447295095,90
