fold,horizon,model,MAPE,RMSE,n
0,1,Ridge,0.35491284308702614,0.30943475068041376,90
0,1,Chronos-Bolt-ZeroShot,0.6634721873230974,0.5379850011128356,90
0,1,Chronos-Bolt-FineTuned,0.4238458248884455,0.38844755495190875,90
0,5,Ridge,0.7292720363326974,0.5935359244009758,90
0,5,Chronos-Bolt-ZeroShot,0.7151750064993644,0.5614309637557,90
0,5,Chronos-Bolt-FineTuned,0.4521930050707139,0.4162742777918318,90
0,20,Ridge,5.195890272187692,3.7010273406082557,90
0,20,Chronos-Bolt-ZeroShot,0.7604343821910045,0.601435433312376,90
0,20,Chronos-Bolt-FineTuned,0.48903706517356454,0.42247599142379455,90
1,1,Ridge,0.25897394256640205,0.2086169646346265,90
1,1,Chronos-Bolt-ZeroShot,0.3634986225118222,0.29793624448496614,90
1,1,Chronos-Bolt-FineTuned,0.29334558000980027,0.2357415370510026,90
1,5,Ridge,0.7469896955892101,0.6324883807752988,90
1,5,Chronos-Bolt-ZeroShot,0.38670648451170325,0.3111139062201856,90
1,5,Chronos-Bolt-FineTuned,0.3053563282593142,0.24435863396515717,90
1,20,Ridge,2.4695213320975524,2.1297236420218177,90
1,20,Chronos-Bolt-ZeroShot,0.4151862981350232,0.3006980843940524,90
1,20,Chronos-Bolt-FineTuned,0.2305975129230432,0.18255617721141137,90
2,1,Ridge,0.1975480599954775,0.1819015934645506,90
2,1,Chronos-Bolt-ZeroShot,2.1603638012061053,1.9371896924911343,90
2,1,Chronos-Bolt-FineTuned,2.1399864672179865,1.9270587770195946,90
2,5,Ridge,0.5942183030176328,0.5197877585717324,90
2,5,Chronos-Bolt-ZeroShot,2.3612680167049023,2.052440064849169,90
2,5,Chronos-Bolt-FineTuned,2.3409141701707896,2.0419789193995017,90
2,20,Ridge,1.4917539556968447,1.3703099207986515,90
2,20,Chronos-Bolt-ZeroShot,3.465366451835626,2.94013833314697,90
2,20,Chronos-Bolt-FineTuned,3.445303400311303,2.9280552047045214,90
3,1,Ridge,0.871989022523062,0.8078472544247112,90
3,1,Chronos-Bolt-ZeroShot,8.349083932105374,7.283080606611909,90
3,1,Chronos-Bolt-FineTuned,5.159159631600187,4.4641663969326375,90
3,5,Ridge,1.7418767731950933,1.666356459826266,90
3,5,Chronos-Bolt-ZeroShot,8.94908847964099,7.688412535987134,90
3,5,Chronos-Bolt-FineTuned,5.773256418202044,4.879323755554568,90
3,20,Ridge,4.129328629125606,3.4350592486720086,90
3,20,Chronos-Bolt-ZeroShot,10.744539443527595,8.917874058619953,90
3,20,Chronos-Bolt-FineTuned,7.619110322972518,6.1706045445086986,90
4,1,Ridge,1.4834207437200975,1.7721710464397855,90
4,1,Chronos-Bolt-ZeroShot,4.071779264446877,4.6470970717449775,90
4,1,Chronos-Bolt-FineTuned,4.052586029563559,4.866252351692284,90
4,5,Ridge,4.522962048334401,5.079269375182907,90
4,5,Chronos-Bolt-ZeroShot,4.125262567533774,4.574586690382451,90
4,5,Chronos-Bolt-FineTuned,4.023480050726115,4.726190062942912,90
4,20,Ridge,9.965665130354886,9.995431133671124,90
4,20,Chronos-Bolt-ZeroShot,4.243891570430333,4.392875676380651,90
4,20,Chronos-Bolt-FineTuned,4.235298169798819,4.485201896509869,90
