model,horizon,fold_id,metric,value
Naive,1,0,MAE,0.2822222222222215
Naive,1,0,RMSE,0.35023801430836504
Naive,1,0,MAPE,0.41946658079308935
Naive,1,0,sMAPE,0.4194024028535923
Naive,1,0,R2,-0.01720943089097715
Naive,1,0,MASE,0.5599982273628683
Naive,1,0,DA,62.121212121212125
Naive,1,0,HitRate_0.5pct,2.2222222222222223
Naive,1,0,fit_seconds,0.0
Naive,1,0,pred_seconds,0.0
Naive,1,0,n_eval,90.0
SeasonalNaive,1,0,MAE,0.2988888888888891
SeasonalNaive,1,0,RMSE,0.37727090178455824
SeasonalNaive,1,0,MAPE,0.44357582463236506
SeasonalNaive,1,0,sMAPE,0.4442521861189897
SeasonalNaive,1,0,R2,-0.18029463856100336
SeasonalNaive,1,0,MASE,0.5930689888213074
SeasonalNaive,1,0,DA,60.60606060606061
SeasonalNaive,1,0,HitRate_0.5pct,3.3333333333333335
SeasonalNaive,1,0,fit_seconds,0.0
SeasonalNaive,1,0,pred_seconds,0.0
SeasonalNaive,1,0,n_eval,90.0
RollingNaive,1,0,MAE,0.15277777777777762
RollingNaive,1,0,RMSE,0.21749840357013028
RollingNaive,1,0,MAPE,0.22703965328461115
RollingNaive,1,0,sMAPE,0.22693599978886575
RollingNaive,1,0,R2,0.6077201855055876
RollingNaive,1,0,MASE,0.30314864670234065
RollingNaive,1,0,DA,
RollingNaive,1,0,HitRate_0.5pct,0.0
RollingNaive,1,0,fit_seconds,0.0
RollingNaive,1,0,pred_seconds,0.0
RollingNaive,1,0,n_eval,90.0
AutoARIMA,1,0,MAE,1.4399134295738785
AutoARIMA,1,0,RMSE,1.68065855296308
AutoARIMA,1,0,MAPE,2.1435860814350667
AutoARIMA,1,0,sMAPE,2.1127555104416027
AutoARIMA,1,0,R2,-22.423014865373723
AutoARIMA,1,0,MASE,2.8571420130142764
AutoARIMA,1,0,DA,52.054794520547944
AutoARIMA,1,0,HitRate_0.5pct,3.3333333333333335
AutoARIMA,1,0,fit_seconds,2.1971802711486816
AutoARIMA,1,0,pred_seconds,0.0025730133056640625
AutoARIMA,1,0,n_eval,90.0
AutoETS,1,0,MAE,1.5493613153111148
AutoETS,1,0,RMSE,1.8008176932400008
AutoETS,1,0,MAPE,2.306320203836358
AutoETS,1,0,sMAPE,2.2709695980240245
AutoETS,1,0,R2,-25.892012971793832
AutoETS,1,0,MASE,3.074313508295062
AutoETS,1,0,DA,52.054794520547944
AutoETS,1,0,HitRate_0.5pct,3.3333333333333335
AutoETS,1,0,fit_seconds,0.5955772399902344
AutoETS,1,0,pred_seconds,0.003702878952026367
AutoETS,1,0,n_eval,90.0
AutoTheta,1,0,MAE,1.4617594007389434
AutoTheta,1,0,RMSE,1.702493377502614
AutoTheta,1,0,MAPE,2.176058483450612
AutoTheta,1,0,sMAPE,2.144429480520956
AutoTheta,1,0,R2,-23.03558387531206
AutoTheta,1,0,MASE,2.900489787087942
AutoTheta,1,0,DA,52.054794520547944
AutoTheta,1,0,HitRate_0.5pct,3.3333333333333335
AutoTheta,1,0,fit_seconds,0.1153864860534668
AutoTheta,1,0,pred_seconds,0.003124713897705078
AutoTheta,1,0,n_eval,90.0
HistoricAverage,1,0,MAE,14.306764444444449
HistoricAverage,1,0,RMSE,14.310978311312072
HistoricAverage,1,0,MAPE,21.270501305618534
HistoricAverage,1,0,sMAPE,23.80304397609596
HistoricAverage,1,0,R2,-1697.331485618647
HistoricAverage,1,0,MASE,28.388135651056384
HistoricAverage,1,0,DA,49.31506849315068
HistoricAverage,1,0,HitRate_0.5pct,2.2222222222222223
HistoricAverage,1,0,fit_seconds,0.0023584365844726562
HistoricAverage,1,0,pred_seconds,0.002685070037841797
HistoricAverage,1,0,n_eval,90.0
Prophet,1,0,MAE,1.814204233482066
Prophet,1,0,RMSE,2.514372802553274
Prophet,1,0,MAPE,2.6990810679156962
Prophet,1,0,sMAPE,2.6314499651938985
Prophet,1,0,R2,-51.42556924290658
Prophet,1,0,MASE,3.599826926542338
Prophet,1,0,DA,57.534246575342465
Prophet,1,0,HitRate_0.5pct,3.3333333333333335
Prophet,1,0,fit_seconds,2.4302334785461426
Prophet,1,0,pred_seconds,0.04423236846923828
Prophet,1,0,n_eval,90.0
MLForecast_LGBM,1,0,MAE,0.8082794215734673
MLForecast_LGBM,1,0,RMSE,0.9047933204501787
MLForecast_LGBM,1,0,MAPE,1.1994086249489297
MLForecast_LGBM,1,0,sMAPE,1.208466214007364
MLForecast_LGBM,1,0,R2,-5.7886369814629495
MLForecast_LGBM,1,0,MASE,1.6038249565571838
MLForecast_LGBM,1,0,DA,49.31506849315068
MLForecast_LGBM,1,0,HitRate_0.5pct,2.2222222222222223
MLForecast_LGBM,1,0,fit_seconds,0.2553579807281494
MLForecast_LGBM,1,0,pred_seconds,0.17916536331176758
MLForecast_LGBM,1,0,n_eval,90.0
Naive,5,0,MAE,0.28953488372092945
Naive,5,0,RMSE,0.3571528237811981
Naive,5,0,MAPE,0.43032491486153684
Naive,5,0,sMAPE,0.43026420163031615
Naive,5,0,R2,-0.01554392990161002
Naive,5,0,MASE,0.5745083444058725
Naive,5,0,DA,58.57142857142858
Naive,5,0,HitRate_0.5pct,16.27906976744186
Naive,5,0,fit_seconds,0.0
Naive,5,0,pred_seconds,0.0
Naive,5,0,n_eval,86.0
SeasonalNaive,5,0,MAE,0.3046511627906977
SeasonalNaive,5,0,RMSE,0.3827683737026573
SeasonalNaive,5,0,MAPE,0.45211023592871763
SeasonalNaive,5,0,sMAPE,0.45280138697938566
SeasonalNaive,5,0,R2,-0.16644061228444262
SeasonalNaive,5,0,MASE,0.6045027559612008
SeasonalNaive,5,0,DA,63.888888888888886
SeasonalNaive,5,0,HitRate_0.5pct,15.11627906976744
SeasonalNaive,5,0,fit_seconds,0.0
SeasonalNaive,5,0,pred_seconds,0.0
SeasonalNaive,5,0,n_eval,86.0
RollingNaive,5,0,MAE,0.2738372093023262
RollingNaive,5,0,RMSE,0.34138057600633753
RollingNaive,5,0,MAPE,0.4067397136645106
RollingNaive,5,0,sMAPE,0.40678110052163285
RollingNaive,5,0,R2,0.07217055264914163
RollingNaive,5,0,MASE,0.5433603016368821
RollingNaive,5,0,DA,51.61290322580645
RollingNaive,5,0,HitRate_0.5pct,9.30232558139535
RollingNaive,5,0,fit_seconds,0.0
RollingNaive,5,0,pred_seconds,0.0
RollingNaive,5,0,n_eval,86.0
AutoARIMA,5,0,MAE,1.4993564050727015
AutoARIMA,5,0,RMSE,1.718814792335042
AutoARIMA,5,0,MAPE,2.2320768459596096
AutoARIMA,5,0,sMAPE,2.1998303612194574
AutoARIMA,5,0,R2,-22.52061664559706
AutoARIMA,5,0,MASE,2.9750914808003546
AutoARIMA,5,0,DA,40.25974025974026
AutoARIMA,5,0,HitRate_0.5pct,13.953488372093023
AutoARIMA,5,0,fit_seconds,2.204240560531616
AutoARIMA,5,0,pred_seconds,0.004257678985595703
AutoARIMA,5,0,n_eval,86.0
AutoETS,5,0,MAE,1.6133059020438556
AutoETS,5,0,RMSE,1.841688378359878
AutoETS,5,0,MAPE,2.4015026441812277
AutoETS,5,0,sMAPE,2.3645292594968543
AutoETS,5,0,R2,-26.003672576119207
AutoETS,5,0,MASE,3.2011952787588713
AutoETS,5,0,DA,40.25974025974026
AutoETS,5,0,HitRate_0.5pct,13.953488372093023
AutoETS,5,0,fit_seconds,0.6153733730316162
AutoETS,5,0,pred_seconds,0.0045893192291259766
AutoETS,5,0,n_eval,86.0
AutoTheta,5,0,MAE,1.5212848830151386
AutoTheta,5,0,RMSE,1.741017387946559
AutoTheta,5,0,MAPE,2.2646701300190206
AutoTheta,5,0,sMAPE,2.231592702688884
AutoTheta,5,0,R2,-23.13219107816978
AutoTheta,5,0,MASE,3.018602968591211
AutoTheta,5,0,DA,40.25974025974026
AutoTheta,5,0,HitRate_0.5pct,13.953488372093023
AutoTheta,5,0,fit_seconds,0.11872529983520508
AutoTheta,5,0,pred_seconds,0.0030663013458251953
AutoTheta,5,0,n_eval,86.0
