model,horizon,fold_id,metric,value,source
Naive,1,0,MAE,0.2822222222222215,classical_full
Naive,1,0,RMSE,0.350238014308365,classical_full
Naive,1,0,MAPE,0.4194665807930893,classical_full
Naive,1,0,sMAPE,0.4194024028535923,classical_full
Naive,1,0,R2,-0.0172094308909771,classical_full
Naive,1,0,MASE,0.5599982273628683,classical_full
Naive,1,0,DA,62.121212121212125,classical_full
Naive,1,0,HitRate_0.5pct,2.2222222222222223,classical_full
Naive,1,0,fit_seconds,0.0,classical_full
Naive,1,0,pred_seconds,0.0,classical_full
Naive,1,0,n_eval,90.0,classical_full
SeasonalNaive,1,0,MAE,0.2988888888888891,classical_full
SeasonalNaive,1,0,RMSE,0.3772709017845582,classical_full
SeasonalNaive,1,0,MAPE,0.443575824632365,classical_full
SeasonalNaive,1,0,sMAPE,0.4442521861189897,classical_full
SeasonalNaive,1,0,R2,-0.1802946385610033,classical_full
SeasonalNaive,1,0,MASE,0.5930689888213074,classical_full
SeasonalNaive,1,0,DA,60.60606060606061,classical_full
SeasonalNaive,1,0,HitRate_0.5pct,3.333333333333333,classical_full
SeasonalNaive,1,0,fit_seconds,0.0,classical_full
SeasonalNaive,1,0,pred_seconds,0.0,classical_full
SeasonalNaive,1,0,n_eval,90.0,classical_full
RollingNaive,1,0,MAE,0.1527777777777776,classical_full
RollingNaive,1,0,RMSE,0.2174984035701302,classical_full
RollingNaive,1,0,MAPE,0.2270396532846111,classical_full
RollingNaive,1,0,sMAPE,0.2269359997888657,classical_full
RollingNaive,1,0,R2,0.6077201855055876,classical_full
RollingNaive,1,0,MASE,0.3031486467023406,classical_full
RollingNaive,1,0,DA,,classical_full
RollingNaive,1,0,HitRate_0.5pct,0.0,classical_full
RollingNaive,1,0,fit_seconds,0.0,classical_full
RollingNaive,1,0,pred_seconds,0.0,classical_full
RollingNaive,1,0,n_eval,90.0,classical_full
AutoARIMA,1,0,MAE,1.4399134295738785,classical_full
AutoARIMA,1,0,RMSE,1.68065855296308,classical_full
AutoARIMA,1,0,MAPE,2.1435860814350667,classical_full
AutoARIMA,1,0,sMAPE,2.1127555104416027,classical_full
AutoARIMA,1,0,R2,-22.423014865373723,classical_full
AutoARIMA,1,0,MASE,2.8571420130142764,classical_full
AutoARIMA,1,0,DA,52.05479452054794,classical_full
AutoARIMA,1,0,HitRate_0.5pct,3.333333333333333,classical_full
AutoARIMA,1,0,fit_seconds,2.1971802711486816,classical_full
AutoARIMA,1,0,pred_seconds,0.002573013305664,classical_full
AutoARIMA,1,0,n_eval,90.0,classical_full
AutoETS,1,0,MAE,1.5493613153111148,classical_full
AutoETS,1,0,RMSE,1.8008176932400008,classical_full
AutoETS,1,0,MAPE,2.306320203836358,classical_full
AutoETS,1,0,sMAPE,2.2709695980240245,classical_full
AutoETS,1,0,R2,-25.892012971793832,classical_full
AutoETS,1,0,MASE,3.074313508295062,classical_full
AutoETS,1,0,DA,52.05479452054794,classical_full
AutoETS,1,0,HitRate_0.5pct,3.333333333333333,classical_full
AutoETS,1,0,fit_seconds,0.5955772399902344,classical_full
AutoETS,1,0,pred_seconds,0.0037028789520263,classical_full
AutoETS,1,0,n_eval,90.0,classical_full
AutoTheta,1,0,MAE,1.4617594007389434,classical_full
AutoTheta,1,0,RMSE,1.702493377502614,classical_full
AutoTheta,1,0,MAPE,2.176058483450612,classical_full
AutoTheta,1,0,sMAPE,2.144429480520956,classical_full
AutoTheta,1,0,R2,-23.03558387531206,classical_full
AutoTheta,1,0,MASE,2.900489787087942,classical_full
AutoTheta,1,0,DA,52.05479452054794,classical_full
AutoTheta,1,0,HitRate_0.5pct,3.333333333333333,classical_full
AutoTheta,1,0,fit_seconds,0.1153864860534668,classical_full
AutoTheta,1,0,pred_seconds,0.003124713897705,classical_full
AutoTheta,1,0,n_eval,90.0,classical_full
HistoricAverage,1,0,MAE,14.306764444444449,classical_full
HistoricAverage,1,0,RMSE,14.310978311312072,classical_full
HistoricAverage,1,0,MAPE,21.27050130561853,classical_full
HistoricAverage,1,0,sMAPE,23.80304397609596,classical_full
HistoricAverage,1,0,R2,-1697.331485618647,classical_full
HistoricAverage,1,0,MASE,28.388135651056384,classical_full
HistoricAverage,1,0,DA,49.31506849315068,classical_full
HistoricAverage,1,0,HitRate_0.5pct,2.2222222222222223,classical_full
HistoricAverage,1,0,fit_seconds,0.0023584365844726,classical_full
HistoricAverage,1,0,pred_seconds,0.0026850700378417,classical_full
HistoricAverage,1,0,n_eval,90.0,classical_full
Prophet,1,0,MAE,1.814204233482066,classical_full
Prophet,1,0,RMSE,2.514372802553274,classical_full
Prophet,1,0,MAPE,2.699081067915696,classical_full
Prophet,1,0,sMAPE,2.6314499651938985,classical_full
Prophet,1,0,R2,-51.42556924290658,classical_full
Prophet,1,0,MASE,3.599826926542338,classical_full
Prophet,1,0,DA,57.53424657534247,classical_full
Prophet,1,0,HitRate_0.5pct,3.333333333333333,classical_full
Prophet,1,0,fit_seconds,2.4302334785461426,classical_full
Prophet,1,0,pred_seconds,0.0442323684692382,classical_full
Prophet,1,0,n_eval,90.0,classical_full
MLForecast_LGBM,1,0,MAE,0.8082794215734673,classical_full
MLForecast_LGBM,1,0,RMSE,0.9047933204501788,classical_full
MLForecast_LGBM,1,0,MAPE,1.1994086249489295,classical_full
MLForecast_LGBM,1,0,sMAPE,1.208466214007364,classical_full
MLForecast_LGBM,1,0,R2,-5.7886369814629495,classical_full
MLForecast_LGBM,1,0,MASE,1.6038249565571838,classical_full
MLForecast_LGBM,1,0,DA,49.31506849315068,classical_full
MLForecast_LGBM,1,0,HitRate_0.5pct,2.2222222222222223,classical_full
MLForecast_LGBM,1,0,fit_seconds,0.2553579807281494,classical_full
MLForecast_LGBM,1,0,pred_seconds,0.1791653633117675,classical_full
MLForecast_LGBM,1,0,n_eval,90.0,classical_full
Naive,5,0,MAE,0.2895348837209294,classical_full
Naive,5,0,RMSE,0.3571528237811981,classical_full
Naive,5,0,MAPE,0.4303249148615368,classical_full
Naive,5,0,sMAPE,0.4302642016303161,classical_full
Naive,5,0,R2,-0.01554392990161,classical_full
Naive,5,0,MASE,0.5745083444058725,classical_full
Naive,5,0,DA,58.57142857142858,classical_full
Naive,5,0,HitRate_0.5pct,16.27906976744186,classical_full
Naive,5,0,fit_seconds,0.0,classical_full
Naive,5,0,pred_seconds,0.0,classical_full
Naive,5,0,n_eval,86.0,classical_full
SeasonalNaive,5,0,MAE,0.3046511627906977,classical_full
SeasonalNaive,5,0,RMSE,0.3827683737026573,classical_full
SeasonalNaive,5,0,MAPE,0.4521102359287176,classical_full
SeasonalNaive,5,0,sMAPE,0.4528013869793856,classical_full
SeasonalNaive,5,0,R2,-0.1664406122844426,classical_full
SeasonalNaive,5,0,MASE,0.6045027559612008,classical_full
SeasonalNaive,5,0,DA,63.888888888888886,classical_full
SeasonalNaive,5,0,HitRate_0.5pct,15.11627906976744,classical_full
SeasonalNaive,5,0,fit_seconds,0.0,classical_full
SeasonalNaive,5,0,pred_seconds,0.0,classical_full
SeasonalNaive,5,0,n_eval,86.0,classical_full
RollingNaive,5,0,MAE,0.2738372093023262,classical_full
RollingNaive,5,0,RMSE,0.3413805760063375,classical_full
RollingNaive,5,0,MAPE,0.4067397136645106,classical_full
RollingNaive,5,0,sMAPE,0.4067811005216328,classical_full
RollingNaive,5,0,R2,0.0721705526491416,classical_full
RollingNaive,5,0,MASE,0.5433603016368821,classical_full
RollingNaive,5,0,DA,51.61290322580645,classical_full
RollingNaive,5,0,HitRate_0.5pct,9.30232558139535,classical_full
RollingNaive,5,0,fit_seconds,0.0,classical_full
RollingNaive,5,0,pred_seconds,0.0,classical_full
RollingNaive,5,0,n_eval,86.0,classical_full
AutoARIMA,5,0,MAE,1.4993564050727015,classical_full
AutoARIMA,5,0,RMSE,1.718814792335042,classical_full
AutoARIMA,5,0,MAPE,2.2320768459596096,classical_full
AutoARIMA,5,0,sMAPE,2.1998303612194574,classical_full
AutoARIMA,5,0,R2,-22.52061664559706,classical_full
AutoARIMA,5,0,MASE,2.9750914808003546,classical_full
AutoARIMA,5,0,DA,40.25974025974026,classical_full
AutoARIMA,5,0,HitRate_0.5pct,13.953488372093023,classical_full
AutoARIMA,5,0,fit_seconds,2.204240560531616,classical_full
AutoARIMA,5,0,pred_seconds,0.0042576789855957,classical_full
AutoARIMA,5,0,n_eval,86.0,classical_full
AutoETS,5,0,MAE,1.6133059020438556,classical_full
AutoETS,5,0,RMSE,1.841688378359878,classical_full
AutoETS,5,0,MAPE,2.401502644181228,classical_full
AutoETS,5,0,sMAPE,2.3645292594968543,classical_full
AutoETS,5,0,R2,-26.003672576119207,classical_full
AutoETS,5,0,MASE,3.2011952787588718,classical_full
AutoETS,5,0,DA,40.25974025974026,classical_full
AutoETS,5,0,HitRate_0.5pct,13.953488372093023,classical_full
AutoETS,5,0,fit_seconds,0.6153733730316162,classical_full
AutoETS,5,0,pred_seconds,0.0045893192291259,classical_full
AutoETS,5,0,n_eval,86.0,classical_full
AutoTheta,5,0,MAE,1.5212848830151386,classical_full
AutoTheta,5,0,RMSE,1.741017387946559,classical_full
AutoTheta,5,0,MAPE,2.2646701300190206,classical_full
AutoTheta,5,0,sMAPE,2.231592702688884,classical_full
AutoTheta,5,0,R2,-23.13219107816978,classical_full
AutoTheta,5,0,MASE,3.018602968591211,classical_full
AutoTheta,5,0,DA,40.25974025974026,classical_full
AutoTheta,5,0,HitRate_0.5pct,13.953488372093023,classical_full
AutoTheta,5,0,fit_seconds,0.118725299835205,classical_full
AutoTheta,5,0,pred_seconds,0.0030663013458251,classical_full
AutoTheta,5,0,n_eval,86.0,classical_full
HistoricAverage,5,0,MAE,14.308133953488376,classical_full
HistoricAverage,5,0,RMSE,14.31252259260384,classical_full
HistoricAverage,5,0,MAPE,21.27201745570961,classical_full
HistoricAverage,5,0,sMAPE,23.80499039679424,classical_full
HistoricAverage,5,0,R2,-1629.883386854645,classical_full
HistoricAverage,5,0,MASE,28.3908530934708,classical_full
HistoricAverage,5,0,DA,59.74025974025974,classical_full
HistoricAverage,5,0,HitRate_0.5pct,8.13953488372093,classical_full
HistoricAverage,5,0,fit_seconds,0.0025420188903808,classical_full
HistoricAverage,5,0,pred_seconds,0.0,classical_full
HistoricAverage,5,0,n_eval,86.0,classical_full
Prophet,5,0,MAE,1.8835882568973072,classical_full
Prophet,5,0,RMSE,2.5710594545797494,classical_full
Prophet,5,0,MAPE,2.802325837924552,classical_full
Prophet,5,0,sMAPE,2.7314851803731206,classical_full
Prophet,5,0,R2,-51.62774691985297,classical_full
Prophet,5,0,MASE,3.737501875785862,classical_full
Prophet,5,0,DA,51.94805194805194,classical_full
Prophet,5,0,HitRate_0.5pct,16.27906976744186,classical_full
Prophet,5,0,fit_seconds,0.6379570960998535,classical_full
Prophet,5,0,pred_seconds,0.2629086971282959,classical_full
Prophet,5,0,n_eval,86.0,classical_full
MLForecast_LGBM,5,0,MAE,0.8341155969525978,classical_full
MLForecast_LGBM,5,0,RMSE,0.9237179299918316,classical_full
MLForecast_LGBM,5,0,MAPE,1.2377130801410126,classical_full
MLForecast_LGBM,5,0,sMAPE,1.247153508559934,classical_full
MLForecast_LGBM,5,0,R2,-5.793119987230464,classical_full
MLForecast_LGBM,5,0,MASE,1.6550902761348782,classical_full
MLForecast_LGBM,5,0,DA,59.74025974025974,classical_full
MLForecast_LGBM,5,0,HitRate_0.5pct,8.13953488372093,classical_full
MLForecast_LGBM,5,0,fit_seconds,0.0946805477142334,classical_full
MLForecast_LGBM,5,0,pred_seconds,0.1848433017730713,classical_full
MLForecast_LGBM,5,0,n_eval,86.0,classical_full
Naive,20,0,MAE,0.3056338028169004,classical_full
Naive,20,0,RMSE,0.3751056189290055,classical_full
Naive,20,0,MAPE,0.4544231865189284,classical_full
Naive,20,0,sMAPE,0.4542730303698779,classical_full
Naive,20,0,R2,-0.0365342179485264,classical_full
Naive,20,0,MASE,0.6064525551955646,classical_full
Naive,20,0,DA,84.12698412698413,classical_full
Naive,20,0,HitRate_0.5pct,53.52112676056338,classical_full
Naive,20,0,fit_seconds,0.0,classical_full
Naive,20,0,pred_seconds,0.0,classical_full
Naive,20,0,n_eval,71.0,classical_full
SeasonalNaive,20,0,MAE,0.312676056338028,classical_full
SeasonalNaive,20,0,RMSE,0.3907378358158171,classical_full
SeasonalNaive,20,0,MAPE,0.4641802095223052,classical_full
SeasonalNaive,20,0,sMAPE,0.4647857957862611,classical_full
SeasonalNaive,20,0,R2,-0.1247278200762838,classical_full
SeasonalNaive,20,0,MASE,0.6204261163751876,classical_full
SeasonalNaive,20,0,DA,78.46153846153847,classical_full
SeasonalNaive,20,0,HitRate_0.5pct,54.929577464788736,classical_full
SeasonalNaive,20,0,fit_seconds,0.0,classical_full
SeasonalNaive,20,0,pred_seconds,0.0,classical_full
SeasonalNaive,20,0,n_eval,71.0,classical_full
RollingNaive,20,0,MAE,0.5225352112676056,classical_full
RollingNaive,20,0,RMSE,0.6420148741201794,classical_full
RollingNaive,20,0,MAPE,0.7762249493394285,classical_full
RollingNaive,20,0,sMAPE,0.7763731761041537,classical_full
RollingNaive,20,0,R2,-2.036453842669043,classical_full
RollingNaive,20,0,MASE,1.036838239527904,classical_full
RollingNaive,20,0,DA,50.0,classical_full
RollingNaive,20,0,HitRate_0.5pct,22.53521126760564,classical_full
RollingNaive,20,0,fit_seconds,0.0,classical_full
RollingNaive,20,0,pred_seconds,0.0003983974456787,classical_full
RollingNaive,20,0,n_eval,71.0,classical_full
AutoARIMA,20,0,MAE,1.757481600047308,classical_full
AutoARIMA,20,0,RMSE,1.8864048178338928,classical_full
AutoARIMA,20,0,MAPE,2.6164759403878755,classical_full
AutoARIMA,20,0,sMAPE,2.57763711403988,classical_full
AutoARIMA,20,0,R2,-25.214784860718705,classical_full
AutoARIMA,20,0,MASE,3.487275285765423,classical_full
AutoARIMA,20,0,DA,45.71428571428572,classical_full
AutoARIMA,20,0,HitRate_0.5pct,23.943661971830984,classical_full
AutoARIMA,20,0,fit_seconds,2.2633049488067627,classical_full
AutoARIMA,20,0,pred_seconds,0.0030980110168457,classical_full
AutoARIMA,20,0,n_eval,71.0,classical_full
AutoETS,20,0,MAE,1.8872976358701024,classical_full
AutoETS,20,0,RMSE,2.0208639507080104,classical_full
AutoETS,20,0,MAPE,2.809524570034721,classical_full
AutoETS,20,0,sMAPE,2.7650102104277785,classical_full
AutoETS,20,0,R2,-29.085044457399672,classical_full
AutoETS,20,0,MASE,3.744862195015957,classical_full
AutoETS,20,0,DA,45.71428571428572,classical_full
AutoETS,20,0,HitRate_0.5pct,23.943661971830984,classical_full
AutoETS,20,0,fit_seconds,0.6276812553405762,classical_full
AutoETS,20,0,pred_seconds,0.0047369003295898,classical_full
AutoETS,20,0,n_eval,71.0,classical_full
AutoTheta,20,0,MAE,1.7813525081970984,classical_full
AutoTheta,20,0,RMSE,1.9105328832391508,classical_full
AutoTheta,20,0,MAPE,2.651967978484169,classical_full
AutoTheta,20,0,sMAPE,2.612138356927666,classical_full
AutoTheta,20,0,R2,-25.88967405852189,classical_full
AutoTheta,20,0,MASE,3.534641032318502,classical_full
AutoTheta,20,0,DA,45.71428571428572,classical_full
AutoTheta,20,0,HitRate_0.5pct,23.943661971830984,classical_full
AutoTheta,20,0,fit_seconds,0.1194698810577392,classical_full
AutoTheta,20,0,pred_seconds,0.0028495788574218,classical_full
AutoTheta,20,0,n_eval,71.0,classical_full
HistoricAverage,20,0,MAE,14.281897464788738,classical_full
HistoricAverage,20,0,RMSE,14.286649015308852,classical_full
HistoricAverage,20,0,MAPE,21.24111836996737,classical_full
HistoricAverage,20,0,sMAPE,23.76640121293544,classical_full
