horizon,model,metric,mean,std,min,max,count
1,LSTMv2,DA,44.732251792006636,9.373313649823709,31.16883116883117,54.385964912280706,5
1,PatchTST,DA,45.52368531868431,8.834545424237119,32.467532467532465,56.16438356164384,5
1,TimeMixer,DA,46.038748553508626,6.576184697926946,37.66233766233766,52.17391304347826,5
1,N-HiTS,DA,46.3126591509345,9.611923309241043,31.16883116883117,53.42465753424658,5
1,GRU,DA,46.94749317442499,8.565141489624947,32.467532467532465,54.385964912280706,5
1,N-BEATS,DA,47.43572765917229,10.67807998006133,32.467532467532465,58.9041095890411,5
1,TSMixer,DA,50.58725042563426,8.645961360225842,38.961038961038966,57.6271186440678,5
1,N-BEATS,HitRate_0.5pct,5.555555555555555,6.034878050666786,0.0,14.444444444444443,5
1,N-HiTS,HitRate_0.5pct,5.555555555555555,5.555555555555556,0.0,13.333333333333334,5
1,LSTMv2,HitRate_0.5pct,5.777777777777777,7.00088177867705,0.0,16.666666666666664,5
1,GRU,HitRate_0.5pct,6.0,7.140564005804278,0.0,16.666666666666664,5
1,PatchTST,HitRate_0.5pct,6.222222222222223,7.2264944628929335,1.1111111111111112,17.77777777777778,5
1,TimeMixer,HitRate_0.5pct,6.666666666666667,7.200822998230956,1.1111111111111112,17.77777777777778,5
1,TSMixer,HitRate_0.5pct,7.111111111111112,6.265720968831859,1.1111111111111112,16.666666666666664,5
1,TSMixer,MAE,2.2830046874999996,1.952253848677381,0.40898964775933166,4.495072665744358,5
1,N-BEATS,MAE,2.7279200113932283,2.303013446494157,0.8470106675889751,5.588315419514973,5
1,N-HiTS,MAE,2.7917908135308154,2.5227169649161714,0.8030853949652776,6.4521660529242615,5
1,TimeMixer,MAE,3.423563535563151,2.877020485899448,0.311821441650391,7.57457923719618,5
1,GRU,MAE,3.9319753872341585,3.6209118250700163,0.4074060567220056,9.140805908203125,5
1,PatchTST,MAE,4.316939885118272,5.624288024936476,0.38459538777669294,13.555821183946396,5
1,LSTMv2,MAE,5.277195708889432,4.662142800786158,1.2741341654459637,12.493276306152348,5
1,TSMixer,MAPE,2.97844277234456,2.3740851073034412,0.6102100389311605,5.794551766820347,5
1,N-BEATS,MAPE,3.564497081571781,2.7658160390289646,1.2610543408859956,6.832440692805395,5
1,N-HiTS,MAPE,3.637493621799919,3.1069395322856836,1.1964913551990617,8.335926933734674,5
1,TimeMixer,MAPE,4.550590136841213,3.573279741099577,0.4644615296127194,9.578644026152158,5
1,GRU,MAPE,5.120894707999476,4.40625416467397,0.5937360170855545,10.892982198624367,5
1,PatchTST,MAPE,5.528796335709112,6.957395310064373,0.5729873974567307,16.899195792886438,5
1,LSTMv2,MAPE,6.823917426742035,5.381502815360171,1.8417769912840343,14.878705760593464,5
1,TSMixer,MASE,4.861777995327955,4.225231103730268,0.844119778997289,10.098147615284336,5
1,N-BEATS,MASE,5.783312096066901,4.893463451398673,1.6806772644351982,11.304273185702447,5
1,N-HiTS,MASE,5.976755696199428,5.609686169107558,1.657499816506232,14.494743485969076,5
1,TimeMixer,MASE,7.167650173047176,5.933933348112391,0.6435728822344954,15.322168942898886,5
1,GRU,MASE,8.143911045595805,7.363107215372876,0.889450235318388,18.49039636577626,5
1,PatchTST,MASE,9.03156979627818,11.451974702404822,0.7937721052648122,27.42126999215848,5
1,LSTMv2,MASE,11.024095727417523,9.578609549246755,2.7816938766239443,25.271910718573444,5
1,LSTMv2,R2,-52.029870746240576,65.96220921426028,-136.20382371980884,-0.4289450013987224,5
1,GRU,R2,-49.48432621602818,100.29554686604205,-228.59979553692543,0.8461765880881496,5
1,TimeMixer,R2,-20.515586587045636,39.440443957350965,-91.0319710659312,-1.2300038957061807,5
1,N-HiTS,R2,-8.698948922482066,11.651883386321716,-28.44409581375956,-0.2986395198275571,5
1,N-BEATS,R2,-8.612920665326847,11.760207233650284,-28.573221713163584,-1.2603969969972337,5
1,PatchTST,R2,-5.267409123593342,4.842087288622806,-13.22759368681035,-0.6687924443215776,5
1,TSMixer,R2,-3.2973238786843964,3.0618357225624817,-7.1522296458758525,-0.3076982935832424,5
1,TSMixer,RMSE,2.728671232985496,2.2820836208992072,0.46115941473902083,5.193732215678393,5
1,N-HiTS,RMSE,3.215802239017093,2.821632930411037,0.9464096429091106,7.20957285557817,5
1,N-BEATS,RMSE,3.217651461159818,2.682019036404144,0.9484825934206463,6.846456334019084,5
1,GRU,RMSE,4.281786526022022,3.8452233685517343,0.4811545928132581,9.738956749589963,5
1,TimeMixer,RMSE,4.327021502894044,3.9874618389177487,0.37932099325622026,10.609342064442545,5
1,PatchTST,RMSE,5.277929196429937,7.069105909959078,0.46292965215043036,17.131346629877832,5
1,LSTMv2,RMSE,5.6838467065301685,4.935273588773348,1.466496978129988,13.305525494162554,5
1,TSMixer,fit_seconds,2.053338146209717,0.05669887289155699,1.9943783283233643,2.1251895427703857,5
1,GRU,fit_seconds,4.222622060775757,2.1774410066005196,2.107518196105957,6.563913345336914,5
1,LSTMv2,fit_seconds,5.504296350479126,3.3775919836676263,2.6179492473602295,11.024957180023193,5
1,TimeMixer,fit_seconds,6.5889383316040036,0.08472772821404789,6.46664571762085,6.6803879737854,5
1,N-HiTS,fit_seconds,14.49902777671814,0.8417157275703653,13.988823175430298,15.98912239074707,5
1,N-BEATS,fit_seconds,14.891991710662841,0.3540534103648832,14.429146766662598,15.3076913356781,5
1,PatchTST,fit_seconds,172.2124981880188,0.9635750322825424,171.08067798614502,173.4911551475525,5
1,GRU,n_eval,90.0,0.0,90.0,90.0,5
1,LSTMv2,n_eval,90.0,0.0,90.0,90.0,5
1,N-BEATS,n_eval,90.0,0.0,90.0,90.0,5
1,N-HiTS,n_eval,90.0,0.0,90.0,90.0,5
1,PatchTST,n_eval,90.0,0.0,90.0,90.0,5
1,TSMixer,n_eval,90.0,0.0,90.0,90.0,5
1,TimeMixer,n_eval,90.0,0.0,90.0,90.0,5
1,TSMixer,pred_seconds,0.04326920509338379,0.004668691894616565,0.039710044860839844,0.05124497413635254,5
1,N-HiTS,pred_seconds,0.04730243682861328,0.0032515071476784205,0.04279732704162598,0.051703691482543945,5
1,N-BEATS,pred_seconds,0.0476036548614502,0.014459221298246719,0.03952932357788086,0.07338762283325195,5
1,TimeMixer,pred_seconds,0.051638126373291016,0.004124500270175892,0.04452371597290039,0.054970741271972656,5
1,LSTMv2,pred_seconds,0.05203232765197754,0.001876168378160316,0.05009746551513672,0.05490827560424805,5
1,PatchTST,pred_seconds,0.05395774841308594,0.00522878436081889,0.04859304428100586,0.061263084411621094,5
1,GRU,pred_seconds,0.19460134506225585,0.01866709253355066,0.1778557300567627,0.22628068923950195,5
1,TSMixer,sMAPE,3.010445534433356,2.4213400599471977,0.6079246891512533,6.018977500864075,5
1,N-BEATS,sMAPE,3.586074440613511,2.7767369060837814,1.2468280165581285,6.666345859012439,5
1,N-HiTS,sMAPE,3.734951944560172,3.2777577999766603,1.2053280039222025,8.786581670618913,5
1,TimeMixer,sMAPE,4.420519764593418,3.323639869821383,0.46573015427916353,8.754607351010463,5
1,PatchTST,sMAPE,5.201168401372372,6.174094990547278,0.5742939930871881,14.870298779246289,5
1,GRU,sMAPE,5.372270853553759,4.684846878105985,0.5932205546473884,11.587853568050251,5
1,LSTMv2,sMAPE,7.245394740969362,5.917359464055265,1.8642178510928733,16.211469474711354,5
5,N-HiTS,DA,37.13394448688566,11.90274123620554,23.809523809523807,51.470588235294116,5
5,PatchTST,DA,39.80010185892538,14.528109339542523,23.809523809523807,54.41176470588235,5
5,TimeMixer,DA,39.94270435446906,11.624488089440696,25.97402597402597,55.88235294117647,5
5,N-BEATS,DA,40.025464731347085,13.951691506246988,23.809523809523807,52.94117647058824,5
5,LSTMv2,DA,40.57421333648314,14.868868415404593,23.52941176470588,58.333333333333336,5
5,TSMixer,DA,43.84262796027502,14.070340229874452,25.97402597402597,58.82352941176471,5
5,GRU,DA,45.320441732853155,12.78620393385709,27.906976744186046,58.333333333333336,5
5,N-HiTS,HitRate_0.5pct,13.25581395348837,10.707780868112872,2.3255813953488373,27.906976744186046,5
