model,horizon,fold_id,metric,value
Chronos-Bolt-Small,1,0,MAE,0.43472664727105076
Chronos-Bolt-Small,1,0,RMSE,0.5308640281399815
Chronos-Bolt-Small,1,0,MAPE,0.6480831014206824
Chronos-Bolt-Small,1,0,sMAPE,0.6451753039670883
Chronos-Bolt-Small,1,0,R2,-1.336955325731584
Chronos-Bolt-Small,1,0,MASE,0.8626044750916252
Chronos-Bolt-Small,1,0,DA,57.534246575342465
Chronos-Bolt-Small,1,0,HitRate_0.5pct,3.3333333333333335
Chronos-Bolt-Small,1,0,fit_seconds,43.164021015167236
Chronos-Bolt-Small,1,0,pred_seconds,0.4176912307739258
Chronos-Bolt-Small,1,0,n_eval,90.0
Chronos-Bolt-Small,1,1,MAE,0.2404100545247393
Chronos-Bolt-Small,1,1,RMSE,0.293112272691677
Chronos-Bolt-Small,1,1,MAPE,0.3579867721789036
Chronos-Bolt-Small,1,1,sMAPE,0.35893188071050924
Chronos-Bolt-Small,1,1,R2,-1.8242810671973042
Chronos-Bolt-Small,1,1,MASE,0.49618586486464167
Chronos-Bolt-Small,1,1,DA,55.072463768115945
Chronos-Bolt-Small,1,1,HitRate_0.5pct,1.1111111111111112
Chronos-Bolt-Small,1,1,fit_seconds,0.0005090236663818359
Chronos-Bolt-Small,1,1,pred_seconds,0.07937121391296387
Chronos-Bolt-Small,1,1,n_eval,90.0
Chronos-Bolt-Small,1,2,MAE,1.470996670193142
Chronos-Bolt-Small,1,2,RMSE,1.9135314787775974
Chronos-Bolt-Small,1,2,MAPE,2.116287296255677
Chronos-Bolt-Small,1,2,sMAPE,2.1544976753707115
Chronos-Bolt-Small,1,2,R2,-1.4310023297940395
Chronos-Bolt-Small,1,2,MASE,3.2114847407598317
Chronos-Bolt-Small,1,2,DA,42.25352112676056
Chronos-Bolt-Small,1,2,HitRate_0.5pct,1.1111111111111112
Chronos-Bolt-Small,1,2,fit_seconds,0.0
Chronos-Bolt-Small,1,2,pred_seconds,0.08499932289123535
Chronos-Bolt-Small,1,2,n_eval,90.0
Chronos-Bolt-Small,1,3,MAE,6.338085327148438
Chronos-Bolt-Small,1,3,RMSE,7.1546335198913
Chronos-Bolt-Small,1,3,MAPE,8.180106070945484
Chronos-Bolt-Small,1,3,sMAPE,8.622776623110179
Chronos-Bolt-Small,1,3,R2,-4.329749281729992
Chronos-Bolt-Small,1,3,MASE,14.238461976279115
Chronos-Bolt-Small,1,3,DA,31.16883116883117
Chronos-Bolt-Small,1,3,HitRate_0.5pct,8.88888888888889
Chronos-Bolt-Small,1,3,fit_seconds,0.0
Chronos-Bolt-Small,1,3,pred_seconds,0.08159923553466797
Chronos-Bolt-Small,1,3,n_eval,90.0
Chronos-Bolt-Small,1,4,MAE,3.467194898817273
Chronos-Bolt-Small,1,4,RMSE,4.664363006059786
Chronos-Bolt-Small,1,4,MAPE,4.055874730983689
Chronos-Bolt-Small,1,4,sMAPE,4.165988200203947
Chronos-Bolt-Small,1,4,R2,-0.05471016932721007
Chronos-Bolt-Small,1,4,MASE,7.01358376934747
Chronos-Bolt-Small,1,4,DA,59.32203389830508
Chronos-Bolt-Small,1,4,HitRate_0.5pct,16.666666666666664
Chronos-Bolt-Small,1,4,fit_seconds,0.0010104179382324219
Chronos-Bolt-Small,1,4,pred_seconds,0.08958196640014648
Chronos-Bolt-Small,1,4,n_eval,90.0
Chronos-Bolt-Small,5,0,MAE,0.4480802314226021
Chronos-Bolt-Small,5,0,RMSE,0.5419487720253591
Chronos-Bolt-Small,5,0,MAPE,0.6680060399364516
Chronos-Bolt-Small,5,0,sMAPE,0.6649752844354788
Chronos-Bolt-Small,5,0,R2,-1.3383365144701482
Chronos-Bolt-Small,5,0,MASE,0.8891012668570926
Chronos-Bolt-Small,5,0,DA,55.00000000000001
Chronos-Bolt-Small,5,0,HitRate_0.5pct,20.930232558139537
Chronos-Bolt-Small,5,0,fit_seconds,1.717409610748291
Chronos-Bolt-Small,5,0,pred_seconds,0.14209961891174316
Chronos-Bolt-Small,5,0,n_eval,86.0
Chronos-Bolt-Small,5,1,MAE,0.248170577648074
Chronos-Bolt-Small,5,1,RMSE,0.29936013235208925
Chronos-Bolt-Small,5,1,MAPE,0.3695169756756222
Chronos-Bolt-Small,5,1,sMAPE,0.37050274446262815
Chronos-Bolt-Small,5,1,R2,-2.1155567898580254
Chronos-Bolt-Small,5,1,MASE,0.5122029232416972
Chronos-Bolt-Small,5,1,DA,63.23529411764706
Chronos-Bolt-Small,5,1,HitRate_0.5pct,5.813953488372093
Chronos-Bolt-Small,5,1,fit_seconds,0.0010149478912353516
Chronos-Bolt-Small,5,1,pred_seconds,0.08507013320922852
Chronos-Bolt-Small,5,1,n_eval,86.0
Chronos-Bolt-Small,5,2,MAE,1.537439284213754
Chronos-Bolt-Small,5,2,RMSE,1.9574875003915322
Chronos-Bolt-Small,5,2,MAPE,2.2117713691387038
Chronos-Bolt-Small,5,2,sMAPE,2.2517590111514196
Chronos-Bolt-Small,5,2,R2,-1.6039043018195156
Chronos-Bolt-Small,5,2,MASE,3.356542472967597
Chronos-Bolt-Small,5,2,DA,22.22222222222222
Chronos-Bolt-Small,5,2,HitRate_0.5pct,4.651162790697675
Chronos-Bolt-Small,5,2,fit_seconds,0.0
Chronos-Bolt-Small,5,2,pred_seconds,0.08265161514282227
Chronos-Bolt-Small,5,2,n_eval,86.0
Chronos-Bolt-Small,5,3,MAE,6.616295268923736
Chronos-Bolt-Small,5,3,RMSE,7.318649365488445
Chronos-Bolt-Small,5,3,MAPE,8.536958312488737
Chronos-Bolt-Small,5,3,sMAPE,9.00014679721197
Chronos-Bolt-Small,5,3,R2,-5.361921229325063
Chronos-Bolt-Small,5,3,MASE,14.863458560093273
Chronos-Bolt-Small,5,3,DA,24.390243902439025
Chronos-Bolt-Small,5,3,HitRate_0.5pct,20.930232558139537
Chronos-Bolt-Small,5,3,fit_seconds,0.0
Chronos-Bolt-Small,5,3,pred_seconds,0.09084701538085938
Chronos-Bolt-Small,5,3,n_eval,86.0
Chronos-Bolt-Small,5,4,MAE,3.5889755142566755
Chronos-Bolt-Small,5,4,RMSE,4.766226631302651
Chronos-Bolt-Small,5,4,MAPE,4.195853547055718
Chronos-Bolt-Small,5,4,sMAPE,4.311476143913551
Chronos-Bolt-Small,5,4,R2,-0.05573613197494476
Chronos-Bolt-Small,5,4,MASE,7.259926583291472
Chronos-Bolt-Small,5,4,DA,57.74647887323944
Chronos-Bolt-Small,5,4,HitRate_0.5pct,39.53488372093023
Chronos-Bolt-Small,5,4,fit_seconds,0.0009999275207519531
Chronos-Bolt-Small,5,4,pred_seconds,0.08066177368164062
Chronos-Bolt-Small,5,4,n_eval,86.0
Chronos-Bolt-Small,20,0,MAE,0.5081027393609707
Chronos-Bolt-Small,20,0,RMSE,0.5897897184041777
Chronos-Bolt-Small,20,0,MAPE,0.7576878000542414
Chronos-Bolt-Small,20,0,sMAPE,0.7540350279025653
Chronos-Bolt-Small,20,0,R2,-1.5625414488970168
Chronos-Bolt-Small,20,0,MASE,1.008200669387109
Chronos-Bolt-Small,20,0,DA,66.17647058823529
Chronos-Bolt-Small,20,0,HitRate_0.5pct,46.478873239436616
Chronos-Bolt-Small,20,0,fit_seconds,1.1775577068328857
Chronos-Bolt-Small,20,0,pred_seconds,0.130462646484375
Chronos-Bolt-Small,20,0,n_eval,71.0
