model,horizon,fold_id,metric,value
Ridge,1,0,MAE,0.23875658136457756
Ridge,1,0,RMSE,0.3094347506805889
Ridge,1,0,MAPE,0.3549128430872986
Ridge,1,0,sMAPE,0.35437652444653867
Ridge,1,0,R2,0.22048956638731576
Ridge,1,0,MASE,0.47375171693639373
Ridge,1,0,DA,60.273972602739725
Ridge,1,0,HitRate_0.5pct,3.3333333333333335
Ridge,1,0,fit_seconds,0.1056070327758789
Ridge,1,0,pred_seconds,0.002660512924194336
Ridge,1,0,n_eval,90.0
ElasticNet,1,0,MAE,0.2670640341482193
ElasticNet,1,0,RMSE,0.31162601811583684
ElasticNet,1,0,MAPE,0.39672872296372386
ElasticNet,1,0,sMAPE,0.39759760189356774
ElasticNet,1,0,R2,0.20941024287599708
ElasticNet,1,0,MASE,0.529920658046621
ElasticNet,1,0,DA,45.20547945205479
ElasticNet,1,0,HitRate_0.5pct,2.2222222222222223
ElasticNet,1,0,fit_seconds,0.08991026878356934
ElasticNet,1,0,pred_seconds,0.003252744674682617
ElasticNet,1,0,n_eval,90.0
SVR_RBF,1,0,MAE,5.509808787064442
SVR_RBF,1,0,RMSE,5.902478285116267
SVR_RBF,1,0,MAPE,8.193747961240023
SVR_RBF,1,0,sMAPE,8.600184968546623
SVR_RBF,1,0,R2,-282.63025703882505
SVR_RBF,1,0,MASE,10.93281432471656
SVR_RBF,1,0,DA,47.94520547945205
SVR_RBF,1,0,HitRate_0.5pct,2.2222222222222223
SVR_RBF,1,0,fit_seconds,0.11087656021118164
SVR_RBF,1,0,pred_seconds,0.010483980178833008
SVR_RBF,1,0,n_eval,90.0
RandomForest,1,0,MAE,0.5839343950324762
RandomForest,1,0,RMSE,0.721543234537544
RandomForest,1,0,MAPE,0.8667328051974341
RandomForest,1,0,sMAPE,0.8669809458178331
RandomForest,1,0,R2,-3.2384638206803276
RandomForest,1,0,MASE,1.1586693051297512
RandomForest,1,0,DA,46.57534246575342
RandomForest,1,0,HitRate_0.5pct,2.2222222222222223
RandomForest,1,0,fit_seconds,1.2276215553283691
RandomForest,1,0,pred_seconds,0.035056352615356445
RandomForest,1,0,n_eval,90.0
XGBoost,1,0,MAE,0.4966115315755216
XGBoost,1,0,RMSE,0.6893957022050825
XGBoost,1,0,MAPE,0.7384310152602362
