model,horizon,fold_id,metric,value
Ridge,1,0,MAE,0.23875658136439043
Ridge,1,0,RMSE,0.3094347506804101
Ridge,1,0,MAPE,0.35491284308701865
Ridge,1,0,sMAPE,0.3543765244462612
Ridge,1,0,R2,0.2204895663882167
Ridge,1,0,MASE,0.4737517169360224
Ridge,1,0,DA,60.273972602739725
Ridge,1,0,HitRate_0.5pct,3.3333333333333335
Ridge,1,0,fit_seconds,0.11555242538452148
Ridge,1,0,pred_seconds,0.0
Ridge,1,0,n_eval,90.0
ElasticNet,1,0,MAE,0.26706403414821916
ElasticNet,1,0,RMSE,0.3116260181158366
ElasticNet,1,0,MAPE,0.39672872296372363
ElasticNet,1,0,sMAPE,0.3975976018935674
ElasticNet,1,0,R2,0.20941024287599808
ElasticNet,1,0,MASE,0.5299206580466208
ElasticNet,1,0,DA,45.20547945205479
ElasticNet,1,0,HitRate_0.5pct,2.2222222222222223
ElasticNet,1,0,fit_seconds,0.11525726318359375
ElasticNet,1,0,pred_seconds,0.002015352249145508
ElasticNet,1,0,n_eval,90.0
SVR_RBF,1,0,MAE,5.509808787064442
SVR_RBF,1,0,RMSE,5.902478285116267
SVR_RBF,1,0,MAPE,8.193747961240023
SVR_RBF,1,0,sMAPE,8.600184968546623
SVR_RBF,1,0,R2,-282.63025703882505
SVR_RBF,1,0,MASE,10.93281432471656
SVR_RBF,1,0,DA,47.94520547945205
SVR_RBF,1,0,HitRate_0.5pct,2.2222222222222223
SVR_RBF,1,0,fit_seconds,0.15061545372009277
SVR_RBF,1,0,pred_seconds,0.015384674072265625
SVR_RBF,1,0,n_eval,90.0
RandomForest,1,0,MAE,0.5839343950324751
RandomForest,1,0,RMSE,0.7215432345375413
RandomForest,1,0,MAPE,0.8667328051974326
RandomForest,1,0,sMAPE,0.8669809458178315
RandomForest,1,0,R2,-3.2384638206802965
RandomForest,1,0,MASE,1.158669305129749
RandomForest,1,0,DA,46.57534246575342
RandomForest,1,0,HitRate_0.5pct,2.2222222222222223
RandomForest,1,0,fit_seconds,2.9093105792999268
RandomForest,1,0,pred_seconds,0.04603004455566406
RandomForest,1,0,n_eval,90.0
XGBoost,1,0,MAE,0.4966115315755216
XGBoost,1,0,RMSE,0.6893957022050825
XGBoost,1,0,MAPE,0.7384310152602362
XGBoost,1,0,sMAPE,0.7355479970869518
XGBoost,1,0,R2,-2.8691975648752077
XGBoost,1,0,MASE,0.9853992898945936
XGBoost,1,0,DA,50.68493150684932
XGBoost,1,0,HitRate_0.5pct,3.3333333333333335
XGBoost,1,0,fit_seconds,2.650800943374634
XGBoost,1,0,pred_seconds,0.005939006805419922
XGBoost,1,0,n_eval,90.0
LightGBM,1,0,MAE,0.626057503543395
LightGBM,1,0,RMSE,0.7730522565488305
LightGBM,1,0,MAPE,0.9296884786601751
LightGBM,1,0,sMAPE,0.9294400432072851
LightGBM,1,0,R2,-3.8652086134754757
LightGBM,1,0,MASE,1.2422519015368987
LightGBM,1,0,DA,43.83561643835616
LightGBM,1,0,HitRate_0.5pct,2.2222222222222223
LightGBM,1,0,fit_seconds,0.5386803150177002
LightGBM,1,0,pred_seconds,0.0050351619720458984
LightGBM,1,0,n_eval,90.0
CatBoost,1,0,MAE,0.6964409167724458
CatBoost,1,0,RMSE,0.8402965298605082
CatBoost,1,0,MAPE,1.0338480379818975
CatBoost,1,0,sMAPE,1.0415582738488836
CatBoost,1,0,R2,-4.748425439041606
CatBoost,1,0,MASE,1.381909885708612
CatBoost,1,0,DA,49.31506849315068
CatBoost,1,0,HitRate_0.5pct,2.2222222222222223
CatBoost,1,0,fit_seconds,12.277255535125732
CatBoost,1,0,pred_seconds,0.003825664520263672
CatBoost,1,0,n_eval,90.0
Ridge,1,1,MAE,0.17370703055563944
Ridge,1,1,RMSE,0.20861696463462964
Ridge,1,1,MAPE,0.2589739425664063
Ridge,1,1,sMAPE,0.25891516645394475
Ridge,1,1,R2,-0.4674745590453231
Ridge,1,1,MASE,0.35851650780458205
Ridge,1,1,DA,59.42028985507246
